Area,Storage Unit,Shelf/Container,Category,Item,Theme/Design,Notes
Craft Room,Cart 5,Shelf 1,Measuring & Marking Tools,"60"" White Tape Measure",,
Craft Room,Cart 5,Shelf 1,Measuring & Marking Tools,"60"" Pink Tape Measure",,
Craft Room,Cart 5,Shelf 1,Paper Crafting Tools,We R Memory Keepers Discbound Punch,,
Craft Room,Cart 5,Shelf 1,Paper Crafting Tools,Corner Rounder Punch,,
Craft Room,Cart 5,Shelf 1,Measuring & Marking Tools,"60"" Retractable Tape Measure",,
Craft Room,Cart 5,Shelf 1,Tools & Hardware,Multi-Purpose Spring Binder Clips - Assorted Colors,,
Craft Room,Cart 5,Shelf 1,Measuring & Marking Tools,12in. T-Square Ruler,,
Craft Room,Cart 5,Shelf 2,Adhesives & Tape,Bearly Art Precision Craft Glue,,
Craft Room,Cart 5,Shelf 2,Adhesives & Tape,Tombow Mono liquid glue,,
Craft Room,Cart 5,Shelf 2,Adhesives & Tape,Fabric-Tac Permanent Fabric Adhesives & Tape,,
Craft Room,Cart 5,Shelf 2,Adhesives & Tape,E-6000,,
Craft Room,Cart 5,Shelf 2,Adhesives & Tape,Un-du Adhesives & Tape Remover,,
Craft Room,Cart 5,Shelf 2,Adhesives & Tape,Aleene's Tacky Glue,,
Craft Room,Cart 5,Shelf 2,Adhesives & Tape,Art Glitter Glue,,
Craft Room,Cart 5,Shelf 2,Adhesives & Tape,Heat Transfer Tape - 1/2in.,,
Craft Room,Cart 5,Shelf 2,Adhesives & Tape,Heat Transfer Tape - 1/4in.,,
Craft Room,Cart 5,Shelf 2,Adhesives & Tape,Mini Hot Glue Sticks,,
Craft Room,Cart 5,Shelf 2,Adhesives & Tapes & Tape,White Correction Tape,,
Craft Room,Cart 5,Shelf 3,Unknown,To be identified,,
Craft Room,Cart 6,Drawer 1,adhesives & Tape,Washi Tape,,
Craft Room,Cart 6,Drawer 2,adhesives & Tape,Washi Tape,,
Craft Room,Cart 6,Drawer 3,adhesives & Tape,Washi Tape,,
Craft Room,Cart 6,Drawer 4,adhesives & Tape,Washi Tape,,
Craft Room,Cart 6,Drawer 5,adhesives & Tape,Washi Tape,,
Craft Room,Cart 6,Drawer 6,adhesives & Tape,Washi Tape,,
Craft Room,Cart 6,Drawer 7,adhesives & Tape,Washi Tape,,
Craft Room,Cart 6,Drawer 8,adhesives & Tape,Washi Tape,,
Craft Room,Cart 6,Drawer 9,adhesives & Tape,Washi Tape,,
Craft Room,Cart 6,Drawer 10,adhesives & Tape,Washi Tape,,
Craft Room,Cart 2,Shelf 2,Designer Cardstock,12 x 12 Coquette Paper Pad by The Paper Studio,"Black, Pink, Blue Coquettes",
Craft Room,Cart 2,Shelf 2,Designer Cardstock,12 x 12 Misty Morning Paper Pad by Recollections,Blue Florals and Fluers,
Craft Room,Cart 2,Shelf 2,Designer Cardstock,12 x 12 Pumpkin Vines Paper Pad by Recollections,Blue and Cream Pumpkins/Fall,
Craft Room,Cart 2,Shelf 2,Designer Cardstock,12 x 12 Fall Orchard Paper Pad by Recollections,Apples and Florals/Fall,
Craft Room,Cart 2,Shelf 2,Designer Cardstock,12 x 12 Cottage Flowers Paper Pad by Recollections,Pumpkins and Sunflowers/Fall,3 pads
Craft Room,Cart 2,Shelf 2,Designer Cardstock,12 x 12 Sweet Harvest Paper Pad by Craft Smith,Orange/Pink Pumpkins and Florals/Fall,
Craft Room,Cart 2,Shelf 2,Designer Cardstock,12 x 12 Wallflowers Paper Pad by Recollections,Blue/Pink/Gold Florals,4 Pads
Craft Room,Cart 2,Shelf 2,Designer Cardstock,12 x 12 Specialty Pinks Paper Pad by Recollections,Pink Glitter/Metallics/Acetate,
Craft Room,Cart 2,Shelf 2,Designer Cardstock,12 x 12 Sweet Baby Girl Paper Pad by Recollections,,
Craft Room,Cart 2,Shelf 2,Designer Cardstock,12 x 12 Front Porch Paper Pad by Recollections,Fall Pumpkins and Ghords,
Craft Room,Cart 2,Shelf 2,Designer Cardstock,12 x 12 Night Before Christmas Paper Pad by Recollections ,Red/Green Poinsettias/Trees/Plaids,
Craft Room,Cart 2,Shelf 2,Designer Cardstock,12 x 12 In Bloom Paper Pad by Craft Smart,Floral Spring Pastels/Gold,
Craft Room,Cart 2,Shelf 2,Designer Cardstock,12 x 12 Fall Orchard Paper Pad by Recollections,Apples and Pie/Fall,
Craft Room,Cart 2,Shelf 2,Designer Cardstock,12 x 12 Bloomsbury Paper Pad by Craft Smith,Blue/Pink Florals,
Craft Room,Cart 2,Shelf 2,Designer Cardstock,12 x 12 Butterfly Study Paper Pad by Craft Smith,Butterfly/Green/Metallic,
Craft Room,Cart 1,Shelf 2,Equipment,Cricut Joy ,,
Craft Room,Cart 2,Shelf 2,Designer Cardstock,12 x 12 Sweet Ambrosia Paper Pad by Recollections,Vintage/Butterflies/Birds,
Craft Room,Cart 2,Shelf 2,Designer Cardstock,12 x 12 Dark Watercolor Florals Paper Pad by Recollections,Navy/White/Black/Metallic/Floral,2 pads
Craft Room,Cart 2,Shelf 2,Designer Cardstock,12 x 12 Moody Floral Paper Pad by Recollections,Deep Purple/Green/Gold,
